hop 0:
	total peers that pass through hop: 999
	# of different peers in hop: 1
hop 1:
	total peers that pass through hop: 981
	# of different peers in hop: 18
hop 2:
	total peers that pass through hop: 896
	# of different peers in hop: 85
hop 3:
	total peers that pass through hop: 699
	# of different peers in hop: 197
hop 4:
	total peers that pass through hop: 469
	# of different peers in hop: 230
hop 5:
	total peers that pass through hop: 210
	# of different peers in hop: 259
hop 6:
	total peers that pass through hop: 57
	# of different peers in hop: 153
hop 7:
	total peers that pass through hop: 5
	# of different peers in hop: 52
hop 8:
	total peers that pass through hop: 0
	# of different peers in hop: 5
hop: 0
280969005741530084941391480066731809771 999

hop: 1
279692386171806807542506773233511874060 4
259872248377745559421663631227650669827 6
259733445961323363554322736173012927085 4
279764715956062265001706238690816845858 140
270809483583119531587262919076982196278 39
279989605525610363286824831416912830548 468
276040852695680607449051420638014056354 56
260121351668965327164448661963125654607 9
238563557395741386666253563093932107773 4
275991976900266668059823747674431561417 1
278371716177611073702770083481111527823 232
238621412742823313943333579689650480542 18

hop: 2
273383653002941193146603695657710555547 134
274769345444363253762661983262576817474 10
265644350154552052445278875542483517690 38
269412916284928116887272946722979921135 7
279258205128875502075453761248707568370 124
275399383583277946401124727801504989324 19
273141988029772206309705444352991548821 2
191066278448725948365113051135890800596 6
277888845304248974089251378290222971153 83
194783294000976469829669484099194067120 3
237190323144603807746192859373383446613 1
259060739637671019512649691047926312661 6
258884518941736322679845929928244778687 5
269951269897550199386522097640759412667 55
153898298492158459095821965875930496649 2
269453484078308492402472622815618524190 11
278990249438400710999100441404325151944 30
196776260069582086829547619060422270847 5
279134324259486121628933940972162917787 10
195664207097861132904015417522424658277 4
174981663388056603051820859386046368422 2
275152097945417823721183860133158146260 49
259139933739629572953723677117751226795 6
193752031540496615575926454718108051024 3
153538572138983831522646082648236571215 2
269248090119417531760315142139442127832 15
238224809231676704325741625459517222465 1
237960773429516806259262120829115810408 2
196560412540875207512163496278318227785 4
217643156471667958539434770982107576163 7
274449144537287129300080411333255179969 8
268209519088438342810625881769759674549 15
268299457673997293089419966007223180738 48
258558155600038781663709189361943841686 7
185779349717504337774778654572795446019 7
277693240603621064005067946455380779076 15
277146031563961280944866486276035523138 35
